LDAP_CODE,부서1,부서2,부서3,부서4,부서5,부서6
,고용노동부,본부,장관,장관실,장관실,장관
,고용노동부,본부,장관,장관실,장관실,장관실
,고용노동부,본부,차관,차관실,차관실,차관
,고용노동부,본부,차관,차관실,차관실,차관실
,고용노동부,본부,차관,대변인실,대변인실,대변인
,고용노동부,본부,차관,대변인실,대변인실,홍보담당관
,고용노동부,본부,차관,대변인실,대변인실,디지털소통실
,고용노동부,본부,차관,감사관,감사관,감사관
,고용노동부,본부,차관,감사관,감사관,감사담당관
,고용노동부,본부,차관,감사관,감사관,민원운영팀
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과
,고용노동부,본부,차관,기획조정실,기획조정실,기획조정실
,고용노동부,본부,차관,기획조정실,정책기획관,정책기획관
,고용노동부,본부,차관,기획조정실,정책기획관,기획재정담당관
,고용노동부,본부,차관,기획조정실,정책기획관,혁신행정담당관
,고용노동부,본부,차관,기획조정실,정책기획관,규제개혁법무담당관
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관
,고용노동부,본부,차관,기획조정실,정책기획관,비상안전담당관
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀
,고용노동부,본부,차관,기획조정실,국제협력관,국제협력관
,고용노동부,본부,차관,기획조정실,국제협력관,국제협력담당관
,고용노동부,본부,차관,기획조정실,국제협력관,외국인력담당관
,고용노동부,본부,차관,기획조정실,국제협력관,국제개발협력팀
,고용노동부,본부,차관,고용정책실,고용정책실,고용정책실
,고용노동부,본부,차관,고용정책실,노동시장정책관,노동시장정책관
,고용노동부,본부,차관,고용정책실,노동시장정책관,고용정책총괄과
,고용노동부,본부,차관,고용정책실,노동시장정책관,지역산업고용정책과
,고용노동부,본부,차관,고용정책실,노동시장정책관,기업일자리지원과
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책관
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용서비스정책과
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용보험기획과
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용보험심사위원회
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용보험심사관실
,고용노동부,본부,차관,고용정책실,고용서비스정책관,고용지원실업급여과
,고용노동부,본부,차관,고용정책실,고용서비스정책관,자산운용팀
,고용노동부,본부,차관,고용정책실,고용서비스정책관,국민취업지원기획팀
,고용노동부,본부,차관,고용정책실,고용지원정책관,고용지원정책관
,고용노동부,본부,차관,고용정책실,고용지원정책관,고용서비스기반과
,고용노동부,본부,차관,고용정책실,고용지원정책관,고용문화개선정책과
,고용노동부,본부,차관,고용정책실,고용지원정책관,미래고용분석과
,고용노동부,본부,차관,고용정책실,고용지원정책관,노동시장조사과
,고용노동부,본부,차관,고용정책실,통합고용정책국,통합고용정책국
,고용노동부,본부,차관,고용정책실,통합고용정책국,고령사회인력정책과
,고용노동부,본부,차관,고용정책실,통합고용정책국,장애인고용과
,고용노동부,본부,차관,고용정책실,통합고용정책국,사회적기업과
,고용노동부,본부,차관,고용정책실,청년고용정책관,청년고용정책관
,고용노동부,본부,차관,고용정책실,청년고용정책관,청년고용기획과
,고용노동부,본부,차관,고용정책실,청년고용정책관,청년취업지원과
,고용노동부,본부,차관,고용정책실,청년고용정책관,공정채용기반과
,고용노동부,본부,차관,고용정책실,직업능력정책국,직업능력정책국
,고용노동부,본부,차관,고용정책실,직업능력정책국,직업능력정책과
,고용노동부,본부,차관,고용정책실,직업능력정책국,직업능력평가과
