Type,Name
실,고용정책실
관,노동시장정책관
과,고용정책총괄과
과,지역산업고용정책과
과,기업일자리지원과
관,고용서비스정책관
과,고용서비스정책과
과,고용보험기획과
nan,고용보험심사위원회
nan,고용보험심사관실
과,고용지원실업급여과
팀(총액),자산운용팀
팀(총액),국민취업지원기획팀
관,고용지원정책관
과,고용서비스기반과
과,고용문화개선정책과
과,미래고용분석과
과,노동시장조사과
국,통합고용정책국
과,고령사회인력정책과
과,장애인고용과
과,사회적기업과
관,청년고용정책관
과,청년고용기획과
과,청년취업지원과
과,공정채용기반과
국,직업능력정책국
과,직업능력정책과
과,직업능력평가과
과,인적자원개발과
과,기업훈련지원과
실,노동정책실
관,노동정책관
과,노동정책총괄과
과,노무제공자지원과
과,공공노사관계과
과,임금근로시간정책과
관,노사협력정책관
과,노사협력정책과
과,노사관계법제과
과,노사관계지원과
관,근로기준정책관
과,근로기준정책과
과,퇴직연금복지과
과,고용차별개선과
관,근로감독정책단
과,근로감독기획과
과,근로감독협력과
본부,산업안전보건본부
nan,산업안전보건본부실
실,산업안전보건정책실
관,산업안전예방정책관
과,산업안전정책과
과,산업안전기준과
과,산재예방지원과
관,산업보건보상정책관
과,산업보건정책과
과,산재보상정책과
과,노무제공자안전보호과
팀(총액),직업건강증진팀
국,안전보건감독국
과,안전보건감독기획과
과,중대산업재해수사과
과,건설산재예방감독과
과,화학사고예방조사과
